Date,Close,High,Low,Open,Volume,date,finbert_mean,article_count
2024-01-02,184.0814971923828,186.85799339797134,182.34618895522584,185.5788148528252,82488700,,0.0,
2024-01-03,182.70315551757812,184.31947592788424,181.8900324473893,182.67340858873573,58414500,,0.0,
2024-01-04,180.38284301757812,181.55292948513,179.36149122617633,180.6208184994182,71983600,,0.0,
2024-01-05,179.658935546875,181.2256728170181,178.65742022872922,180.46214807824285,62379700,,0.0,
2024-01-08,184.00218200683594,184.04185467153414,179.97626898919978,180.56131218264795,59144500,,0.0,
2024-01-09,183.58572387695312,183.59563447854282,181.19595252385244,182.3759647326735,42841800,,0.0,
2024-01-10,184.62686157226562,184.83509006359006,182.3759149097992,182.80231275270097,46792900,,0.0,
2024-01-11,184.0319061279297,185.47965559618967,182.07844372761645,184.97392753345,49128400,,0.0,
2024-01-12,184.35916137695312,185.1722845702879,183.6352941143493,184.49798544280438,40477800,,0.0,
2024-01-16,182.08837890625,182.71307958868692,179.41103406753936,180.63071876275188,65603000,,0.0,
2024-01-17,181.14634704589844,181.39424823145328,178.786338048284,179.74819585869176,47317400,,0.0,
2024-01-18,187.04641723632812,187.55213023449687,184.2699207854721,184.52773258500528,78005800,,0.0,
2024-01-19,189.95179748535156,190.33852272040096,187.23481023986653,187.74052319933506,68903000,,0.0,
2024-01-22,192.26222229003906,193.69013538694645,190.6459018913611,190.68557454998964,60133900,,0.0,
2024-01-23,193.5414276123047,194.10664964027157,192.20277014147499,193.38278233542192,42355600,,0.0,
2024-01-24,192.8671112060547,194.73133285541883,192.70845082511164,193.7793857004472,53631300,,0.0,
2024-01-25,192.53988647460938,194.62226243680658,191.48878789336808,193.58107445570798,54822100,,0.0,
2024-01-26,190.8045654296875,193.12491668531047,190.3285994330514,192.63904008919584,44594000,,0.0,
2024-01-29,190.12037658691406,190.5864320350317,187.98843240307312,190.3980247095346,47145600,,0.0,
2024-01-30,186.4613494873047,190.18979301004535,185.89614265093053,189.33701232459805,55859400,,0.0,
2024-01-31,182.8519287109375,185.52927391668564,182.80236057287416,185.46976491576893,55467800,,0.0,
2024-02-01,185.291259765625,185.38050055962896,182.2767880551107,182.44535904290282,64885400,,0.0,
2024-02-02,184.2897491455078,185.75731994134992,177.74515173237538,178.35003123610636,102551700,,0.0,
2024-02-05,186.1043701171875,187.6611968198497,184.27982102914154,186.57042555488334,69668800,,0.0,
2024-02-06,187.71078491210938,187.72069551270494,185.2020260688322,185.291266866256,43490800,,0.0,
2024-02-07,187.8198699951172,189.44610127224303,187.02658312392904,189.03953967028943,53439000,,0.0,
2024-02-08,186.73902893066406,187.94877290356362,185.77717103468487,187.80003823127362,40962000,,0.0,
2024-02-09,187.5035400390625,188.63541144119677,186.6595943238761,187.3049538825504,45155200,,0.0,
2024-02-12,185.81564331054688,187.32481018702742,185.45820944901192,187.07659264846137,41781900,,0.0,
2024-02-13,183.7206573486328,184.88232857566155,182.20156746712615,184.44546335353002,56529500,,0.0,
2024-02-14,182.83702087402344,184.2071864451767,181.13922150541597,183.9986922104331,54630500,,0.0,
2024-02-15,182.54910278320312,183.1746158133602,180.05700420987225,182.24131546677532,65434500,,0.0,
2024-02-16,181.01014709472656,183.53204565484478,180.37471083115267,182.1122335213933,49752500,,0.0,
2024-02-20,180.26548767089844,181.12927978468986,178.7166127841021,180.49384354523508,53665600,,0.0,
2024-02-21,181.02008056640625,181.5860086349742,179.37191259479573,180.64278508736416,41371400,,0.0,
2024-02-22,183.05545043945312,183.64125529629035,181.15908011476066,182.17179668082835,52292200,,0.0,
2024-02-23,181.21865844726562,183.72068024032762,180.93071762862238,183.69089534874325,45119700,,0.0,
2024-02-26,179.86834716796875,181.45693020455124,179.36197373162466,180.94064867140935,40867400,,0.0,
2024-02-27,181.327880859375,182.6086766905276,178.27976221818815,179.80879073754454,54318900,,0.0,
2024-02-28,180.12648010253906,181.814356133641,178.84568442217187,181.20870480571682,48953900,,0.0,
2024-02-29,179.46127319335938,181.26830407372196,178.2499704416867,179.97756989489093,136682600,,0.0,
2024-03-01,178.37905883789062,179.2428510400178,176.11531605645658,178.26984251290932,73563100,,0.0,
